timestamp,track_id,class_name,x,y
2.2,2,forklift,0.65377,0.54276
2.233,1,worker,0.33828,0.60969
2.233,2,forklift,0.65136,0.54345
2.267,1,worker,0.34102,0.60842
2.267,2,forklift,0.64895,0.54415
2.3,1,worker,0.34375,0.60714
2.3,2,forklift,0.64654,0.54484
2.333,1,worker,0.34648,0.60587
2.333,2,forklift,0.64413,0.54554
2.367,1,worker,0.34922,0.6046
2.367,2,forklift,0.64172,0.54623
2.4,1,worker,0.35195,0.60332
2.4,2,forklift,0.63931,0.54692
2.433,1,worker,0.35469,0.60205
2.433,2,forklift,0.63691,0.54762
2.467,1,worker,0.35742,0.60078
2.467,2,forklift,0.63449,0.54831
2.5,1,worker,0.36016,0.5995
2.5,2,forklift,0.63209,0.54901
2.533,1,worker,0.36289,0.59823
2.533,2,forklift,0.62968,0.5497
2.567,1,worker,0.36562,0.59696
2.567,2,forklift,0.62727,0.5504
2.6,1,worker,0.36836,0.59569
2.6,2,forklift,0.62486,0.55109
2.633,1,worker,0.37109,0.59441
2.633,2,forklift,0.62245,0.55179
2.667,1,worker,0.37383,0.59314
2.667,2,forklift,0.62004,0.55248
2.7,1,worker,0.37656,0.59187
2.7,2,forklift,0.61763,0.55317
2.733,1,worker,0.3793,0.59059
2.733,2,forklift,0.61523,0.55387
2.767,1,worker,0.38203,0.58932
2.767,2,forklift,0.61281,0.55456
2.8,1,worker,0.38477,0.58805
2.8,2,forklift,0.61041,0.55526
2.833,1,worker,0.3875,0.58677
2.833,2,forklift,0.608,0.55595
2.867,1,worker,0.39023,0.5855
2.867,2,forklift,0.60559,0.55665
2.9,1,worker,0.39297,0.58423
2.9,2,forklift,0.60318,0.55734
2.933,1,worker,0.3957,0.58295
2.933,2,forklift,0.60077,0.55804
2.967,1,worker,0.39844,0.58168
2.967,2,forklift,0.59836,0.55873
3.0,1,worker,0.40117,0.58041
3.0,2,forklift,0.59595,0.55942
3.033,1,worker,0.40391,0.57913
3.033,2,forklift,0.59355,0.56012
3.067,1,worker,0.40664,0.57786
3.067,2,forklift,0.59114,0.56081
3.1,1,worker,0.40937,0.57659
3.1,2,forklift,0.58873,0.56151
3.133,1,worker,0.41211,0.57531
3.133,2,forklift,0.58632,0.5622
3.167,1,worker,0.41484,0.57404
3.167,2,forklift,0.58391,0.5629
3.2,1,worker,0.41758,0.57277
3.2,2,forklift,0.5815,0.56359
3.233,1,worker,0.42031,0.57149
3.233,2,forklift,0.57909,0.56429
3.267,1,worker,0.42305,0.57022
3.267,2,forklift,0.57668,0.56498
3.3,1,worker,0.42578,0.56895
3.3,2,forklift,0.57427,0.56567
3.333,1,worker,0.42852,0.56767
3.333,2,forklift,0.57187,0.56637
3.367,1,worker,0.43125,0.5664
3.367,2,forklift,0.56946,0.56706
3.4,1,worker,0.43398,0.56513
3.4,2,forklift,0.56705,0.56776
3.433,1,worker,0.43672,0.56385
3.433,2,forklift,0.56464,0.56845
3.467,1,worker,0.43945,0.56259
3.467,2,forklift,0.56223,0.56915
3.5,1,worker,0.44219,0.56131
3.5,2,forklift,0.55982,0.56984
3.533,1,worker,0.44492,0.56003
3.533,2,forklift,0.55741,0.57054
3.567,1,worker,0.44766,0.55877
3.567,2,forklift,0.555,0.57123
3.6,1,worker,0.45039,0.55749
3.6,2,forklift,0.55259,0.57192
3.633,1,worker,0.45312,0.55621
3.633,2,forklift,0.55019,0.57262
3.667,1,worker,0.45586,0.55495
3.667,2,forklift,0.54778,0.57331
3.7,1,worker,0.45859,0.55367
3.7,2,forklift,0.54537,0.57401
3.733,1,worker,0.46133,0.55239
3.733,2,forklift,0.54296,0.5747
3.767,1,worker,0.46406,0.55113
3.767,2,forklift,0.54055,0.5754
3.8,1,worker,0.4668,0.54985
3.8,2,forklift,0.53814,0.57609
3.833,1,worker,0.46953,0.54858
3.833,2,forklift,0.53573,0.57679
3.867,1,worker,0.47227,0.54731
3.867,2,forklift,0.53332,0.57748
3.9,1,worker,0.475,0.54603
3.9,2,forklift,0.53091,0.57817
3.933,1,worker,0.47773,0.54476
3.933,2,forklift,0.52851,0.57887
3.967,1,worker,0.48047,0.54349
3.967,2,forklift,0.5261,0.57956
